pgmigrate_success 16413185
pgmigrate_fail 0
thp_migration_success 32035
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 32653
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2087479
htmm_nr_demoted 14316359
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 16690219
htmm_alloc_nvm 842240
MemTotal:       1184226784 kB
MemFree:        1164887996 kB
MemAvailable:   1162562952 kB
Buffers:            8548 kB
Cached:           399100 kB
SwapCached:            0 kB
Active:           119596 kB
Inactive:        1266128 kB
Active(anon):        824 kB
Inactive(anon):   988340 kB
Active(file):     118772 kB
Inactive(file):   277788 kB
Unevictable:        4016 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:        982248 kB
Mapped:           388900 kB
Shmem:             11080 kB
KReclaimable:     495376 kB
Slab:             731684 kB
SReclaimable:     495376 kB
SUnreclaim:       236308 kB
KernelStack:       16736 kB
PageTables:        21472 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592113392 kB
Committed_AS:    4722236 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      160360 kB
VmallocChunk:          0 kB
Percpu:            61440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      515556 kB
DirectMap2M:     5214208 kB
DirectMap1G:    1182793728 kB
